IDStudent,NameStudent,IDSubject,NameSubject,Grade
2151163696,Kurtis,CK789,Co hoc,6.06
2151163697,Jenda,CK789,Co hoc,8.91
2151163698,Danna,CK789,Co hoc,6.87
2151163699,Ilyse,CK789,Co hoc,4.29
2151163700,Claudette,CK789,Co hoc,7.31
2151163701,Jaime,CK789,Co hoc,4.9
2151163702,Kathe,CK789,Co hoc,0.17
2151163703,Goran,CK789,Co hoc,5.56
2151163704,Whitman,CK789,Co hoc,0.97
2151163705,Currey,CK789,Co hoc,5.96
2151163706,Mathew,CK789,Co hoc,1.3
2151163707,Kriste,CK789,Co hoc,0.67
2151163708,Crosby,CK789,Co hoc,7.4
2151163709,Lulita,CK789,Co hoc,8.17
2151163710,Vaughn,CK789,Co hoc,3.5
2151163712,Devlen,CK789,Co hoc,8.06
2151163713,Minette,CK789,Co hoc,2.62
2151163714,Karney,CK789,Co hoc,5.47
2151163715,Trey,CK789,Co hoc,2.84
2151163716,Golda,CK789,Co hoc,3.6
2151163717,Emmalee,CK789,Co hoc,3.61
2151163718,Garner,CK789,Co hoc,5.22
2151163719,Stacy,CK789,Co hoc,0.36
2151163720,Cello,CK789,Co hoc,8.57
2151163721,Aindrea,CK789,Co hoc,1.45
2151163722,Kellen,CK789,Co hoc,7.86
2151163723,Grace,CK789,Co hoc,4.61
2151163724,Abbe,CK789,Co hoc,6.03
2151163726,Conney,CK789,Co hoc,1.89
2151163727,Meagan,CK789,Co hoc,3.45
2151163728,Liana,CK789,Co hoc,5.4
2151163729,Denyse,CK789,Co hoc,6.85
2151163730,Jilleen,CK789,Co hoc,6.66
2151163731,Wilburt,CK789,Co hoc,7.06
2151163732,Arie,CK789,Co hoc,0.92
2151163733,Kristan,CK789,Co hoc,0.6
2151163734,Kath,CK789,Co hoc,1.97
2151163736,Nikolaos,CK789,Co hoc,0.6
2151163737,Mario,CK789,Co hoc,4.35
2151163738,Mendy,CK789,Co hoc,5.59
2151163739,Uriah,CK789,Co hoc,6.91
2151163740,Vania,CK789,Co hoc,3.36
2151163741,Kipper,CK789,Co hoc,1.67
2151163742,Rossie,CK789,Co hoc,2.92
2151163743,Anna-maria,CK789,Co hoc,5.94
2151163744,Emmey,CK789,Co hoc,6.59
2151163745,Montgomery,CK789,Co hoc,2.77
2151163746,Rusty,CK789,Co hoc,6.3
2151163747,Kristopher,CK789,Co hoc,5.1
2151163748,Bren,CK789,Co hoc,5.14
2151163749,Gustie,CK789,Co hoc,3.86
2151163750,Carry,CK789,Co hoc,2.28
2151163501,Lucias,CK793,Co hoc chat long,1.67
2151163502,Giacopo,CK793,Co hoc chat long,6.59
2151163503,Theresina,CK793,Co hoc chat long,1.73
2151163504,Gayle,CK793,Co hoc chat long,2.06
2151163505,Maurie,CK793,Co hoc chat long,8.95
2151163506,Pearline,CK793,Co hoc chat long,3.88
2151163507,Ashien,CK793,Co hoc chat long,2.1
2151163508,Forrester,CK793,Co hoc chat long,5.14
2151163509,Noak,CK793,Co hoc chat long,6.51
2151163510,Jen,CK793,Co hoc chat long,9.42
2151163511,Meris,CK793,Co hoc chat long,7.02
2151163512,Ban,CK793,Co hoc chat long,6.95
2151163513,Wally,CK793,Co hoc chat long,1.44
2151163514,Brittney,CK793,Co hoc chat long,6.63
2151163515,Dedie,CK793,Co hoc chat long,3.86
2151163516,Willabella,CK793,Co hoc chat long,2.61
2151163517,Vernen,CK793,Co hoc chat long,0.31
2151163518,Freda,CK793,Co hoc chat long,6.92
2151163519,Adolph,CK793,Co hoc chat long,3.29
2151163520,Suellen,CK793,Co hoc chat long,0.79
2151163521,Codee,CK793,Co hoc chat long,0.32
2151163522,Andromache,CK793,Co hoc chat long,7.98
2151163523,Odille,CK793,Co hoc chat long,5.44
2151163524,Melvyn,CK793,Co hoc chat long,0.66
2151163525,Hulda,CK793,Co hoc chat long,3.55
2151163526,Noelyn,CK793,Co hoc chat long,4.21
2151163527,Zea,CK793,Co hoc chat long,4.79
2151163528,Rhett,CK793,Co hoc chat long,0.19
2151163529,Tremain,CK793,Co hoc chat long,5.43
2151163530,Marieann,CK793,Co hoc chat long,1.09
2151163531,Ardenia,CK793,Co hoc chat long,4.19
2151163532,Gail,CK793,Co hoc chat long,4.05
2151163533,Jorry,CK793,Co hoc chat long,1.95
2151163534,Briny,CK793,Co hoc chat long,0.93
2151163535,Elfrieda,CK793,Co hoc chat long,1.95
2151163536,Tamqrah,CK793,Co hoc chat long,1.97
2151163537,Mariam,CK793,Co hoc chat long,2.79
2151163538,Arda,CK793,Co hoc chat long,5.91
2151163539,Baron,CK793,Co hoc chat long,5.74
2151163540,Wenda,CK793,Co hoc chat long,9.04
2151163541,Agathe,CK793,Co hoc chat long,9.96
2151163542,Elsie,CK793,Co hoc chat long,0.44
2151163543,Letty,CK793,Co hoc chat long,7.51
2151163544,Pembroke,CK793,Co hoc chat long,4.72
2151163545,Abie,CK793,Co hoc chat long,0.53
2151163546,Helli,CK793,Co hoc chat long,7.01
2151163547,Alexei,CK793,Co hoc chat long,4.95
2151163548,Sabra,CK793,Co hoc chat long,3.97
2151163549,Avril,CK793,Co hoc chat long,5.0
2151163550,Rudd,CK793,Co hoc chat long,4.41
2151163551,Joey,CK793,Co hoc chat long,9.15
2151163552,Adair,CK793,Co hoc chat long,4.04
2151163553,Corty,CK793,Co hoc chat long,7.74
2151163554,Mikel,CK793,Co hoc chat long,2.68
2151163555,Laurent,CK793,Co hoc chat long,0.82
2151163556,Lilah,CK793,Co hoc chat long,2.76
2151163557,Kiley,CK793,Co hoc chat long,3.06
2151163558,Bobinette,CK793,Co hoc chat long,5.31
2151163559,Vivianna,CK793,Co hoc chat long,2.02
2151163560,Audi,CK793,Co hoc chat long,1.26
2151163561,Caldwell,CK793,Co hoc chat long,7.31
2151163562,Zak,CK793,Co hoc chat long,0.1
2151163563,Rockwell,CK793,Co hoc chat long,2.07
2151163564,Bart,CK793,Co hoc chat long,7.7
2151163565,Flem,CK793,Co hoc chat long,0.9
2151163566,Tracy,CK793,Co hoc chat long,9.84
2151163567,Lib,CK793,Co hoc chat long,0.58
2151163568,Tremayne,CK793,Co hoc chat long,7.53
2151163569,Mehetabel,CK793,Co hoc chat long,2.31
2151163570,Alexis,CK793,Co hoc chat long,2.59
2151163571,Tybie,CK793,Co hoc chat long,1.74
2151163572,Roley,CK793,Co hoc chat long,7.5
2151163573,Jacklyn,CK793,Co hoc chat long,9.97
2151163574,Jemmie,CK793,Co hoc chat long,8.09
2151163575,Darn,CK793,Co hoc chat long,4.89
2151163576,Jannel,CK793,Co hoc chat long,0.32
2151163577,Ginevra,CK793,Co hoc chat long,8.26
2151163578,Glennie,CK793,Co hoc chat long,9.75
2151163579,Lutero,CK793,Co hoc chat long,4.06
2151163580,Northrop,CK793,Co hoc chat long,8.15
2151163581,Carling,CK793,Co hoc chat long,2.69
2151163582,Gale,CK793,Co hoc chat long,8.62
2151163583,Darb,CK793,Co hoc chat long,1.28
2151163584,Norine,CK793,Co hoc chat long,6.78
2151163585,Elayne,CK793,Co hoc chat long,4.41
2151163586,Brandi,CK793,Co hoc chat long,7.03
2151163587,Caterina,CK793,Co hoc chat long,0.63
2151163588,Joy,CK793,Co hoc chat long,7.47
2151163589,Austine,CK793,Co hoc chat long,7.29
2151163590,Franciska,CK793,Co hoc chat long,0.72
2151163591,Alverta,CK793,Co hoc chat long,2.95
2151163592,Cordell,CK793,Co hoc chat long,2.04
2151163593,Nikaniki,CK793,Co hoc chat long,3.68
2151163594,Annemarie,CK793,Co hoc chat long,4.81
2151163595,Abey,CK793,Co hoc chat long,1.54
2151163596,Shirl,CK793,Co hoc chat long,6.06
2151163597,Hermann,CK793,Co hoc chat long,0.5
2151163598,Webb,CK793,Co hoc chat long,5.79
2151163599,Elfrieda,CK793,Co hoc chat long,1.45
2151163600,Tull,CK793,Co hoc chat long,2.52
2151163601,Gillan,CK793,Co hoc chat long,8.46
2151163602,Gil,CK793,Co hoc chat long,4.0
2151163603,Orson,CK793,Co hoc chat long,5.46
2151163604,Archibold,CK793,Co hoc chat long,5.16
2151163605,Lowrance,CK793,Co hoc chat long,5.86
2151163606,Carolyne,CK793,Co hoc chat long,2.78
2151163607,Slade,CK793,Co hoc chat long,5.79
2151163608,Berni,CK793,Co hoc chat long,6.24
2151163609,Janice,CK793,Co hoc chat long,9.01
2151163610,Concordia,CK793,Co hoc chat long,6.0
2151163611,Elsworth,CK793,Co hoc chat long,0.46
2151163612,Jillana,CK793,Co hoc chat long,6.52
2151163613,Jean,CK793,Co hoc chat long,5.42
2151163614,Robers,CK793,Co hoc chat long,0.31
2151163615,Danell,CK793,Co hoc chat long,1.74
2151163616,Shandeigh,CK793,Co hoc chat long,6.06
2151163617,Ardith,CK793,Co hoc chat long,7.93
2151163618,Wilow,CK793,Co hoc chat long,2.05
2151163619,Layney,CK793,Co hoc chat long,7.03
2151163620,Jordan,CK793,Co hoc chat long,5.61
2151163621,Simonette,CK793,Co hoc chat long,2.1
2151163622,Tedi,CK793,Co hoc chat long,8.79
2151163623,Stafani,CK793,Co hoc chat long,2.0
2151163624,Leticia,CK793,Co hoc chat long,4.0
2151163625,Kass,CK793,Co hoc chat long,0.12
2151163626,Lenna,CK793,Co hoc chat long,2.42
2151163627,Sam,CK793,Co hoc chat long,4.88
2151163628,Jeralee,CK793,Co hoc chat long,6.76
2151163629,Luisa,CK793,Co hoc chat long,4.36
2151163630,Deane,CK793,Co hoc chat long,5.36
2151163631,Buffy,CK793,Co hoc chat long,6.2
2151163632,Fay,CK793,Co hoc chat long,7.93
2151163633,Sylvan,CK793,Co hoc chat long,0.25
2151163634,Jemmy,CK793,Co hoc chat long,0.52
2151163635,Jolee,CK793,Co hoc chat long,2.35
2151163636,Hattie,CK793,Co hoc chat long,0.18
2151163637,Sasha,CK793,Co hoc chat long,5.39
2151163638,Jethro,CK793,Co hoc chat long,2.26
2151163639,Jesse,CK793,Co hoc chat long,4.83
2151163640,Dew,CK793,Co hoc chat long,0.48
2151163641,Rik,CK793,Co hoc chat long,0.92
2151163642,Dix,CK793,Co hoc chat long,2.25
2151163643,Kenny,CK793,Co hoc chat long,9.63
2151163644,Marchall,CK793,Co hoc chat long,7.09
2151163645,Harald,CK793,Co hoc chat long,4.96
2151163646,Maryann,CK793,Co hoc chat long,3.99
2151163647,Bobbi,CK793,Co hoc chat long,0.35
2151163648,Fredrick,CK793,Co hoc chat long,7.73
2151163649,Alaric,CK793,Co hoc chat long,1.85
2151163650,Shelba,CK793,Co hoc chat long,7.56
2151163651,Alice,CK793,Co hoc chat long,5.09
2151163652,Darline,CK793,Co hoc chat long,3.23
2151163653,Brien,CK793,Co hoc chat long,5.78
2151163654,Kelbee,CK793,Co hoc chat long,5.03
2151163655,Marcel,CK793,Co hoc chat long,6.74
2151163656,Reggie,CK793,Co hoc chat long,4.89
2151163657,Scottie,CK793,Co hoc chat long,1.13
2151163658,Preston,CK793,Co hoc chat long,3.7
2151163659,Berne,CK793,Co hoc chat long,4.29
2151163660,Rosabel,CK793,Co hoc chat long,9.65
2151163661,Ursula,CK793,Co hoc chat long,1.0
2151163662,Ewan,CK793,Co hoc chat long,2.63
2151163663,Quincey,CK793,Co hoc chat long,2.51
2151163664,Melinde,CK793,Co hoc chat long,2.6
2151163665,Garv,CK793,Co hoc chat long,5.69
2151163666,Melisa,CK793,Co hoc chat long,4.55
2151163667,Zaneta,CK793,Co hoc chat long,5.1
2151163668,Horatio,CK793,Co hoc chat long,6.0
2151163669,Lefty,CK793,Co hoc chat long,0.77
2151163670,Dara,CK793,Co hoc chat long,1.67
2151163671,Ainslee,CK793,Co hoc chat long,3.25
2151163672,Wanids,CK793,Co hoc chat long,8.62
2151163673,Lauritz,CK793,Co hoc chat long,4.94
2151163674,Perceval,CK793,Co hoc chat long,9.24
2151163675,Herbert,CK793,Co hoc chat long,5.17
2151163676,Salomo,CK793,Co hoc chat long,8.58
2151163677,Garrott,CK793,Co hoc chat long,3.1
2151163678,Lenee,CK793,Co hoc chat long,8.66
2151163679,Staford,CK793,Co hoc chat long,4.43
2151163680,Romonda,CK793,Co hoc chat long,6.68
2151163681,Riley,CK793,Co hoc chat long,9.48
2151163682,Roselia,CK793,Co hoc chat long,1.89
2151163683,Roxanna,CK793,Co hoc chat long,4.0
2151163684,Cassie,CK793,Co hoc chat long,9.22
2151163685,Amalie,CK793,Co hoc chat long,8.61
2151163686,Georg,CK793,Co hoc chat long,5.18
2151163687,Alyssa,CK793,Co hoc chat long,3.41
2151163688,Maynard,CK793,Co hoc chat long,7.08
2151163689,Jemimah,CK793,Co hoc chat long,5.12
2151163690,Theo,CK793,Co hoc chat long,5.7
2151163691,Dare,CK793,Co hoc chat long,6.58
2151163692,Lawrence,CK793,Co hoc chat long,4.48
2151163693,Anastasie,CK793,Co hoc chat long,6.3
2151163694,Mariel,CK793,Co hoc chat long,8.51
2151163695,Arliene,CK793,Co hoc chat long,5.58
2151163696,Kurtis,CK793,Co hoc chat long,4.99
2151163697,Jenda,CK793,Co hoc chat long,8.84
2151163698,Danna,CK793,Co hoc chat long,4.3
2151163699,Ilyse,CK793,Co hoc chat long,4.08
2151163700,Claudette,CK793,Co hoc chat long,1.14
2151163701,Jaime,CK793,Co hoc chat long,4.39
2151163702,Kathe,CK793,Co hoc chat long,3.07
2151163703,Goran,CK793,Co hoc chat long,8.42
2151163704,Whitman,CK793,Co hoc chat long,4.82
2151163705,Currey,CK793,Co hoc chat long,0.74
2151163706,Mathew,CK793,Co hoc chat long,8.73
2151163707,Kriste,CK793,Co hoc chat long,4.99
2151163708,Crosby,CK793,Co hoc chat long,8.89
2151163709,Lulita,CK793,Co hoc chat long,4.97
2151163710,Vaughn,CK793,Co hoc chat long,8.93
2151163711,Steve,CK793,Co hoc chat long,3.79
2151163712,Devlen,CK793,Co hoc chat long,6.55
2151163713,Minette,CK793,Co hoc chat long,1.84
2151163714,Karney,CK793,Co hoc chat long,4.45
2151163715,Trey,CK793,Co hoc chat long,6.32
2151163716,Golda,CK793,Co hoc chat long,6.28
2151163717,Emmalee,CK793,Co hoc chat long,8.91
2151163718,Garner,CK793,Co hoc chat long,4.98
2151163719,Stacy,CK793,Co hoc chat long,5.43
2151163720,Cello,CK793,Co hoc chat long,2.15
2151163721,Aindrea,CK793,Co hoc chat long,0.51
2151163722,Kellen,CK793,Co hoc chat long,9.96
2151163723,Grace,CK793,Co hoc chat long,7.4
2151163724,Abbe,CK793,Co hoc chat long,0.45
2151163725,Tansy,CK793,Co hoc chat long,3.97
2151163726,Conney,CK793,Co hoc chat long,5.46
2151163727,Meagan,CK793,Co hoc chat long,0.78
2151163728,Liana,CK793,Co hoc chat long,0.82
2151163729,Denyse,CK793,Co hoc chat long,7.98
2151163730,Jilleen,CK793,Co hoc chat long,6.39
2151163731,Wilburt,CK793,Co hoc chat long,1.87
2151163732,Arie,CK793,Co hoc chat long,5.08
2151163733,Kristan,CK793,Co hoc chat long,1.73
2151163734,Kath,CK793,Co hoc chat long,5.34
2151163735,Eleni,CK793,Co hoc chat long,0.52
2151163736,Nikolaos,CK793,Co hoc chat long,1.3
2151163737,Mario,CK793,Co hoc chat long,4.31
2151163738,Mendy,CK793,Co hoc chat long,2.48
2151163739,Uriah,CK793,Co hoc chat long,3.51
2151163740,Vania,CK793,Co hoc chat long,8.98
2151163741,Kipper,CK793,Co hoc chat long,4.17
2151163742,Rossie,CK793,Co hoc chat long,0.25
2151163743,Anna-maria,CK793,Co hoc chat long,9.01
2151163744,Emmey,CK793,Co hoc chat long,4.37
2151163745,Montgomery,CK793,Co hoc chat long,0.3
2151163746,Rusty,CK793,Co hoc chat long,7.12
2151163747,Kristopher,CK793,Co hoc chat long,1.31
2151163748,Bren,CK793,Co hoc chat long,2.68
2151163749,Gustie,CK793,Co hoc chat long,2.84
2151163750,Carry,CK793,Co hoc chat long,6.69
2151163501,Lucias,CK794,Dung cu va do luong,9.15
2151163502,Giacopo,CK794,Dung cu va do luong,6.0
2151163504,Gayle,CK794,Dung cu va do luong,5.84
2151163505,Maurie,CK794,Dung cu va do luong,7.96
2151163506,Pearline,CK794,Dung cu va do luong,6.04
2151163507,Ashien,CK794,Dung cu va do luong,3.45
2151163508,Forrester,CK794,Dung cu va do luong,9.98
2151163509,Noak,CK794,Dung cu va do luong,0.57
2151163510,Jen,CK794,Dung cu va do luong,3.18
2151163511,Meris,CK794,Dung cu va do luong,5.2
2151163512,Ban,CK794,Dung cu va do luong,9.84
2151163513,Wally,CK794,Dung cu va do luong,0.61
2151163514,Brittney,CK794,Dung cu va do luong,8.03
2151163515,Dedie,CK794,Dung cu va do luong,6.64
2151163516,Willabella,CK794,Dung cu va do luong,1.94
2151163517,Vernen,CK794,Dung cu va do luong,9.26
2151163518,Freda,CK794,Dung cu va do luong,7.0
2151163519,Adolph,CK794,Dung cu va do luong,9.79
2151163520,Suellen,CK794,Dung cu va do luong,0.34
2151163521,Codee,CK794,Dung cu va do luong,9.22
2151163522,Andromache,CK794,Dung cu va do luong,2.82
2151163523,Odille,CK794,Dung cu va do luong,6.38
2151163524,Melvyn,CK794,Dung cu va do luong,7.52
2151163525,Hulda,CK794,Dung cu va do luong,2.31
2151163526,Noelyn,CK794,Dung cu va do luong,4.47
2151163527,Zea,CK794,Dung cu va do luong,0.78
2151163528,Rhett,CK794,Dung cu va do luong,3.7
2151163529,Tremain,CK794,Dung cu va do luong,1.89
2151163530,Marieann,CK794,Dung cu va do luong,7.7
2151163531,Ardenia,CK794,Dung cu va do luong,1.22
2151163532,Gail,CK794,Dung cu va do luong,5.2
2151163533,Jorry,CK794,Dung cu va do luong,6.26
2151163534,Briny,CK794,Dung cu va do luong,3.91
2151163535,Elfrieda,CK794,Dung cu va do luong,0.71
2151163536,Tamqrah,CK794,Dung cu va do luong,4.03
2151163537,Mariam,CK794,Dung cu va do luong,6.83
2151163538,Arda,CK794,Dung cu va do luong,3.35
2151163539,Baron,CK794,Dung cu va do luong,4.39
2151163540,Wenda,CK794,Dung cu va do luong,0.58
2151163541,Agathe,CK794,Dung cu va do luong,0.22
2151163542,Elsie,CK794,Dung cu va do luong,7.41
2151163543,Letty,CK794,Dung cu va do luong,5.9
2151163544,Pembroke,CK794,Dung cu va do luong,1.66
2151163545,Abie,CK794,Dung cu va do luong,9.95
2151163546,Helli,CK794,Dung cu va do luong,3.76
2151163547,Alexei,CK794,Dung cu va do luong,4.87
2151163548,Sabra,CK794,Dung cu va do luong,8.1
2151163549,Avril,CK794,Dung cu va do luong,9.52
2151163550,Rudd,CK794,Dung cu va do luong,2.37
2151163551,Joey,CK794,Dung cu va do luong,2.46
